Wavelength(nm)	R	G	B
300	0	4.71769433186754e-07	0
301	0	0.000292445743643343	2.82766518220654e-06
302	5.65076881376387e-06	0.000584419717853500	5.65076881385371e-06
303	8.47387244541630e-06	0.000876393692063656	8.47387244550087e-06
304	1.12969760770687e-05	0.00116836766627381	1.12969760771480e-05
305	1.41200797087211e-05	0.00146034164048397	1.41200797087952e-05
306	1.69431833403736e-05	0.00175231561469413	1.69431833404424e-05
307	1.97662869720260e-05	0.00204428958890428	1.97662869720895e-05
308	2.25893906036784e-05	0.00233626356311444	2.25893906037367e-05
309	2.54124942353308e-05	0.00262823753732460	2.54124942353839e-05
310	2.82355978669833e-05	0.00292021151153475	2.82355978670310e-05
311	3.10587014986357e-05	0.00321218548574491	3.10587014986782e-05
312	3.38818051302881e-05	0.00350415945995506	3.38818051303254e-05
313	3.67049087619405e-05	0.00379613343416522	3.67049087619725e-05
314	3.95280123935930e-05	0.00408810740837538	3.95280123936197e-05
315	4.23511160252454e-05	0.00438008138258553	4.23511160252669e-05
316	4.51742196568978e-05	0.00519104006717975	4.51742196569140e-05
317	4.79973232885502e-05	0.00684829116516975	4.79973232885612e-05
318	0.000349163120176989	0.00850554226315975	5.08204269202084e-05
319	0.000812390501056196	0.0101627933611498	5.36435305518555e-05
320	0.00127561788193540	0.0118200444591398	5.64666341835027e-05
321	0.00173884526281461	0.0134772955571298	5.92897378151499e-05
322	0.00220207264369382	0.0151345466551198	6.21128414467970e-05
323	0.00266530002457302	0.0167917977531098	6.49359450784442e-05
324	0.00312852740545223	0.0184490488510998	6.77590487100914e-05
325	0.00359175478633144	0.0201062999490898	7.05821523417407e-05
326	0.00405498216721064	0.0225414165897432	7.34052559733908e-05
327	0.00451820954808985	0.0251422978873832	7.62283596050410e-05
328	0.00498143692896905	0.0277431791850231	7.90514632366912e-05
329	0.00544466430984826	0.0303440604826630	8.18745668683413e-05
330	0.00593531675478502	0.0329449417803030	8.46976704999915e-05
331	0.00696075209198040	0.0355458230779429	8.75207741316417e-05
332	0.00798618742917577	0.0381467043755829	9.03438777632918e-05
333	0.00901162276637114	0.0407475856732228	9.31669813949420e-05
334	0.0100370581035665	0.0433484669708627	9.59900850265921e-05
335	0.0110624934407619	0.0459493482685027	9.88131886582423e-05
336	0.0120879287779573	0.0485502295661426	0.000101636292289892
337	0.0131133641151526	0.0511511108637825	0.000104459395921543
338	0.0141387994523480	0.0537519921614225	0.000107282499553193
339	0.0151642347895434	0.0553162212845325	0.000110105603184843
340	0.0161896701267387	0.0565963338670231	0.000112928706816493
341	0.0172151054639341	0.0578764464495137	0.000115751810448143
342	0.0250407905139915	0.0591565590320044	0.000118574914079793
343	0.0328779354026090	0.0604366716144950	0.000175850330523250
344	0.0407150802912265	0.0617167841969856	0.000290885871371372
345	0.0485522251798441	0.0629968967794762	0.000405921412219494
346	0.0563893700684616	0.0642770093619669	0.000520956953067616
347	0.0608439934473141	0.0655571219444575	0.000635992493915739
348	0.0652088344235924	0.0668372345269481	0.000751028034763861
349	0.0695736753998707	0.0681173471094388	0.000866063575611983
350	0.0739385163761490	0.0693974596919294	0.000981099116460105
351	0.0783033573524273	0.0706775722744200	0.00109613465730823
352	0.0826681983287056	0.0719576848569107	0.00121117019815635
353	0.0870330393049839	0.0732377974394013	0.00132620573900447
354	0.0911780525873558	0.0743524850090325	0.00144124127985259
355	0.0931297293371277	0.0752499011605399	0.00155627682070072
356	0.0950814060868996	0.0761473173120473	0.00167726056061951
357	0.0970330828366715	0.0770447334635546	0.00367440981961725
358	0.0989847595864434	0.0779421496150620	0.00567155907861499
359	0.100936436336215	0.0788395657665694	0.00766870833761273
360	0.102888113085987	0.0797369819180767	0.00966585759661047
361	0.104839789835759	0.0806343980695841	0.0116630068556082
362	0.106791466585531	0.0815318142210915	0.0136601561146059
363	0.108743143335303	0.0824292303725988	0.0156573053736037
364	0.110694820085075	0.0833266465241062	0.0176544546326014
365	0.112646496834847	0.0842240626756136	0.0196516038915992
366	0.113491307226556	0.0851214788271209	0.0216487531505969
367	0.114160670056986	0.0857830189052464	0.0236459024095946
368	0.114830032887415	0.0856991632959524	0.0263411912434438
369	0.115499395717845	0.0856153076866585	0.0306292260789335
370	0.116168758548274	0.0855314520773645	0.0349172609144233
371	0.116838121378704	0.0854475964680706	0.0392052957499130
372	0.117507484209133	0.0853637408587766	0.0434933305854027
373	0.118176847039562	0.0852798852494827	0.0477813654208924
374	0.118846209869992	0.0851960296401887	0.0520694002563821
375	0.119515572700421	0.0851121740308948	0.0563574350918718
376	0.120184935530851	0.0850283184216008	0.0658486930321411
377	0.120854298361280	0.0849444628123069	0.0774672112192336
378	0.121649972020455	0.0847449966601023	0.0890857294063261
379	0.122635770924665	0.0842651427879303	0.100704247593419
380	0.123621569828874	0.0837852889157583	0.118429696138033
381	0.124607368733083	0.0833054350435863	0.138617442555094
382	0.125593167637292	0.0828255811714143	0.158262217712557
383	0.126578966541501	0.0823457272992423	0.177424096265858
384	0.127564765445710	0.0818658734270702	0.196585974819159
385	0.128550564349920	0.0813860195548982	0.217125657693977
386	0.129536363254129	0.0809061656827262	0.239499999788779
387	0.130522162158338	0.0804263118105542	0.261874341883581
388	0.130124021687720	0.0799464579383822	0.298746852497019
389	0.126024574676052	0.0794666040662101	0.314769578900778
390	0.121925127664385	0.0789867501940381	0.327013023396938
391	0.117825680652717	0.0785068963218661	0.339256467893098
